menu_id,time_idx,predicted_quantity,p10,p90,menu,date
3,272,9.959357,1.3041955,12.903258,김치찌개,2025-04-30
3,273,12.899047,1.3033351,12.904958,김치찌개,2025-05-01
3,272,7.9624243,1.3048528,12.901195,김치찌개,2025-04-30
3,273,9.95883,1.3040553,12.903172,김치찌개,2025-05-01
3,274,12.89899,1.3032,12.904876,김치찌개,2025-05-02
3,272,5.998709,1.3052372,12.899041,김치찌개,2025-04-30
3,273,7.9620447,1.3046958,12.9011545,김치찌개,2025-05-01
3,274,9.95826,1.3039051,12.903127,김치찌개,2025-05-02
3,275,12.898951,1.3030554,12.904822,김치찌개,2025-05-03
3,272,4.3325653,1.3047774,12.897004,김치찌개,2025-04-30
3,273,5.9983563,1.3050722,12.899053,김치찌개,2025-05-01
3,274,7.9616785,1.3045373,12.901158,김치찌개,2025-05-02
3,275,9.957715,1.3037527,12.903121,김치찌개,2025-05-03
3,276,12.898958,1.3029078,12.904809,김치찌개,2025-05-04
3,272,3.0106366,1.3013852,12.894948,김치찌개,2025-04-30
3,273,4.332587,1.3046707,12.89695,김치찌개,2025-05-01
3,274,5.99808,1.3049774,12.898976,김치찌개,2025-05-02
3,275,7.961329,1.3044485,12.901071,김치찌개,2025-05-03
3,276,9.957171,1.3036677,12.903032,김치찌개,2025-05-04
3,277,12.898901,1.3028259,12.904723,김치찌개,2025-05-05
3,272,1.301036,1.2861334,12.892581,김치찌개,2025-04-30
3,273,3.0108373,1.301208,12.894905,김치찌개,2025-05-01
3,274,4.3326063,1.3045206,12.896886,김치찌개,2025-05-02
3,275,5.9977884,1.3048375,12.898894,김치찌개,2025-05-03
3,276,7.960957,1.3043145,12.900981,김치찌개,2025-05-04
3,277,9.956642,1.3035384,12.902938,김치찌개,2025-05-05
3,278,12.898831,1.3027003,12.904631,김치찌개,2025-05-06
4,272,12.8990965,1.3034085,12.905031,냉면,2025-04-30
4,272,9.959394,1.3041325,12.903251,냉면,2025-04-30
4,273,12.899041,1.3032739,12.904954,냉면,2025-05-01
4,272,7.962417,1.304775,12.901258,냉면,2025-04-30
4,273,9.958818,1.3039799,12.90323,냉면,2025-05-01
4,274,12.899016,1.3031265,12.904918,냉면,2025-05-02
4,272,5.9986463,1.3051605,12.899101,냉면,2025-04-30
4,273,7.9620576,1.3046201,12.901218,냉면,2025-05-01
4,274,9.958267,1.303831,12.903182,냉면,2025-05-02
4,275,12.898987,1.302983,12.904864,냉면,2025-05-03
4,272,4.3326387,1.3047203,12.896966,냉면,2025-04-30
4,273,5.9984345,1.3050209,12.899001,냉면,2025-05-01
4,274,7.9616632,1.304485,12.901104,냉면,2025-05-02
4,275,9.957767,1.3036981,12.903068,냉면,2025-05-03
4,276,12.89892,1.3028518,12.904761,냉면,2025-05-04
4,272,3.010586,1.3012557,12.894938,냉면,2025-04-30
4,273,4.33264,1.3045477,12.896935,냉면,2025-05-01
4,274,5.998091,1.3048565,12.898961,냉면,2025-05-02
4,275,7.9612665,1.3043283,12.901055,냉면,2025-05-03
4,276,9.957216,1.3035485,12.903015,냉면,2025-05-04
4,277,12.898886,1.3027077,12.904707,냉면,2025-05-05
4,272,1.300913,1.2861181,12.892591,냉면,2025-04-30
4,273,3.0107636,1.3010851,12.894937,냉면,2025-05-01
4,274,4.332607,1.304376,12.89693,냉면,2025-05-02
4,275,5.997743,1.3046901,12.898951,냉면,2025-05-03
4,276,7.9608912,1.3041686,12.901039,냉면,2025-05-04
4,277,9.956668,1.3033944,12.902991,냉면,2025-05-05
4,278,12.898873,1.3025591,12.904677,냉면,2025-05-06
5,272,12.899104,1.3035278,12.905053,돈까스,2025-04-30
5,272,9.959344,1.3042574,12.903277,돈까스,2025-04-30
5,273,12.899045,1.303398,12.904971,돈까스,2025-05-01
5,272,7.96252,1.3049047,12.901286,돈까스,2025-04-30
5,273,9.958788,1.304107,12.903253,돈까스,2025-05-01
5,274,12.899025,1.3032522,12.904934,돈까스,2025-05-02
5,272,5.998649,1.3053024,12.8991,돈까스,2025-04-30
5,273,7.962156,1.3047588,12.901219,돈까스,2025-05-01
5,274,9.958245,1.3039664,12.903178,돈까스,2025-05-02
5,275,12.898976,1.3031161,12.9048605,돈까스,2025-05-03
5,272,4.332508,1.3048574,12.896994,돈까스,2025-04-30
5,273,5.9983363,1.3051494,12.89906,돈까스,2025-05-01
5,274,7.9617815,1.3046119,12.901171,돈까스,2025-05-02
5,275,9.957708,1.3038243,12.903125,돈까스,2025-05-03
5,276,12.898944,1.302978,12.904802,돈까스,2025-05-04
5,272,3.010638,1.3014139,12.894878,돈까스,2025-04-30
5,273,4.332595,1.3047097,12.896888,돈까스,2025-05-01
5,274,5.9981117,1.3050168,12.898921,돈까스,2025-05-02
5,275,7.9613957,1.3044848,12.901019,돈까스,2025-05-03
5,276,9.957202,1.3037004,12.902976,돈까스,2025-05-04
5,277,12.898836,1.302856,12.904666,돈까스,2025-05-05
5,272,1.3010668,1.2862357,12.892496,돈까스,2025-04-30
5,273,3.010819,1.3012438,12.894849,돈까스,2025-05-01
5,274,4.332581,1.3045421,12.896848,돈까스,2025-05-02
5,275,5.9977736,1.3048545,12.898873,돈까스,2025-05-03
5,276,7.961013,1.304329,12.900964,돈까스,2025-05-04
5,277,9.956651,1.3035512,12.902919,돈까스,2025-05-05
5,278,12.898794,1.3027118,12.904605,돈까스,2025-05-06
6,272,12.899104,1.3034191,12.905042,된장찌개,2025-04-30
6,272,9.959349,1.3041371,12.903295,된장찌개,2025-04-30
6,273,12.89907,1.303281,12.904988,된장찌개,2025-05-01
6,272,7.962421,1.3047849,12.901284,된장찌개,2025-04-30
6,273,9.958801,1.3039907,12.903252,된장찌개,2025-05-01
6,274,12.89904,1.3031392,12.904941,된장찌개,2025-05-02
6,272,5.9986954,1.3051931,12.899053,된장찌개,2025-04-30
6,273,7.9620366,1.3046533,12.901165,된장찌개,2025-05-01
6,274,9.958285,1.3038635,12.903134,된장찌개,2025-05-02
6,275,12.898959,1.3030146,12.904828,된장찌개,2025-05-03
6,272,4.332589,1.3047361,12.896967,된장찌개,2025-04-30
6,273,5.9983573,1.3050345,12.899016,된장찌개,2025-05-01
6,274,7.9616647,1.3045003,12.901123,된장찌개,2025-05-02
6,275,9.957731,1.3037163,12.903085,된장찌개,2025-05-03
6,276,12.898921,1.3028718,12.904773,된장찌개,2025-05-04
6,272,3.010598,1.3012725,12.894921,된장찌개,2025-04-30
6,273,4.3326387,1.3045765,12.896916,된장찌개,2025-05-01
6,274,5.9980884,1.3048882,12.89894,된장찌개,2025-05-02
6,275,7.9612746,1.3043609,12.901034,된장찌개,2025-05-03
6,276,9.957214,1.3035809,12.902995,된장찌개,2025-05-04
6,277,12.8988695,1.30274,12.90469,된장찌개,2025-05-05
6,272,1.3009421,1.2861391,12.892577,된장찌개,2025-04-30
6,273,3.0107727,1.3011143,12.894923,된장찌개,2025-05-01
6,274,4.3325934,1.3044066,12.89692,된장찌개,2025-05-02
6,275,5.997737,1.3047208,12.89894,된장찌개,2025-05-03
6,276,7.9609084,1.3041989,12.90103,된장찌개,2025-05-04
6,277,9.956666,1.3034248,12.902984,된장찌개,2025-05-05
6,278,12.898863,1.3025892,12.904668,된장찌개,2025-05-06
7,272,12.899051,1.3035291,12.904998,불고기,2025-04-30
7,272,9.95932,1.3042421,12.90327,불고기,2025-04-30
7,273,12.899025,1.3033835,12.904959,불고기,2025-05-01
7,272,7.962531,1.3049057,12.9012375,불고기,2025-04-30
7,273,9.958769,1.3041086,12.903202,불고기,2025-05-01
7,274,12.898977,1.3032542,12.904885,불고기,2025-05-02
7,272,5.998729,1.3053197,12.898992,불고기,2025-04-30
7,273,7.9621367,1.3047763,12.901107,불고기,2025-05-01
7,274,9.9582615,1.3039824,12.903075,불고기,2025-05-02
7,275,12.898895,1.30313,12.90477,불고기,2025-05-03
7,272,4.3326263,1.3048654,12.896898,불고기,2025-04-30
7,273,5.998421,1.3051662,12.898938,불고기,2025-05-01
7,274,7.961731,1.3046293,12.901046,불고기,2025-05-02
7,275,9.957717,1.3038414,12.903011,불고기,2025-05-03
7,276,12.898856,1.3029935,12.904706,불고기,2025-05-04
7,272,3.010631,1.3014107,12.894881,불고기,2025-04-30
7,273,4.332606,1.3046985,12.896889,불고기,2025-05-01
7,274,5.9980817,1.3050044,12.898922,불고기,2025-05-02
7,275,7.9613447,1.3044742,12.90102,불고기,2025-05-03
7,276,9.957164,1.3036921,12.90298,불고기,2025-05-04
7,277,12.898841,1.3028499,12.904672,불고기,2025-05-05
7,272,1.3010451,1.2860808,12.892524,불고기,2025-04-30
7,273,3.0108368,1.3012167,12.894841,불고기,2025-05-01
7,274,4.3326445,1.3045421,12.896817,불고기,2025-05-02
7,275,5.997808,1.3048602,12.898826,불고기,2025-05-03
7,276,7.9609656,1.3043364,12.900912,불고기,2025-05-04
7,277,9.956641,1.303559,12.902873,불고기,2025-05-05
7,278,12.8987665,1.3027198,12.904569,불고기,2025-05-06
8,272,12.8990345,1.3034726,12.904975,비빔밥,2025-04-30
8,272,9.959325,1.3042004,12.90319,비빔밥,2025-04-30
8,273,12.898992,1.3033429,12.9049015,비빔밥,2025-05-01
8,272,7.962341,1.3048563,12.901139,비빔밥,2025-04-30
8,273,9.95878,1.3040618,12.903125,비빔밥,2025-05-01
8,274,12.898956,1.3032081,12.9048395,비빔밥,2025-05-02
8,272,5.998813,1.3052486,12.898971,비빔밥,2025-04-30
8,273,7.961942,1.3047091,12.901073,비빔밥,2025-05-01
8,274,9.958254,1.303918,12.903056,비빔밥,2025-05-02
8,275,12.898925,1.3030674,12.904777,비빔밥,2025-05-03
8,272,4.332769,1.3047756,12.896924,비빔밥,2025-04-30
8,273,5.9984794,1.3050853,12.898924,비빔밥,2025-05-01
8,274,7.9615483,1.3045535,12.901018,비빔밥,2025-05-02
8,275,9.957707,1.3037691,12.902996,비빔밥,2025-05-03
8,276,12.898889,1.3029238,12.904714,비빔밥,2025-05-04
8,272,3.0106547,1.3012564,12.894977,비빔밥,2025-04-30
8,273,4.332791,1.304607,12.896911,비빔밥,2025-05-01
8,274,5.9981813,1.3049263,12.8988905,비빔밥,2025-05-02
8,275,7.961151,1.3044006,12.900971,비빔밥,2025-05-03
8,276,9.957177,1.3036214,12.902945,비빔밥,2025-05-04
8,277,12.898867,1.3027805,12.904664,비빔밥,2025-05-05
8,272,1.3009378,1.2859528,12.892702,비빔밥,2025-04-30
8,273,3.0108216,1.3011048,12.894969,비빔밥,2025-05-01
